0458 : add al, 0x58
0459 : add al, 0x59
045a : add al, 0x5a
045b : add al, 0x5b
045c : add al, 0x5c
045d : add al, 0x5d
045e : add al, 0x5e
045f : add al, 0x5f
0460 : add al, 0x60
0461 : add al, 0x61
0462 : add al, 0x62
0463 : add al, 0x63
0464 : add al, 0x64
0465 : add al, 0x65
0466 : add al, 0x66
0467 : add al, 0x67
0468 : add al, 0x68
0469 : add al, 0x69
046a : add al, 0x6a
046b : add al, 0x6b
046c : add al, 0x6c
046d : add al, 0x6d
046e : add al, 0x6e
046f : add al, 0x6f
0470 : add al, 0x70
0471 : add al, 0x71
0472 : add al, 0x72
0473 : add al, 0x73
0474 : add al, 0x74
0475 : add al, 0x75
0476 : add al, 0x76
0477 : add al, 0x77
0478 : add al, 0x78
0479 : add al, 0x79
047a : add al, 0x7a
047b : add al, 0x7b
047c : add al, 0x7c
047d : add al, 0x7d
047e : add al, 0x7e
047f : add al, 0x7f
0480 : add al, 0x80
0481 : add al, 0x81
0482 : add al, 0x82
0483 : add al, 0x83
0484 : add al, 0x84
0485 : add al, 0x85
0486 : add al, 0x86
0487 : add al, 0x87
0488 : add al, 0x88
0489 : add al, 0x89
048a : add al, 0x8a
048b : add al, 0x8b
048c : add al, 0x8c
048d : add al, 0x8d
048e : add al, 0x8e
048f : add al, 0x8f
0490 : add al, 0x90
0491 : add al, 0x91
0492 : add al, 0x92
0493 : add al, 0x93
0494 : add al, 0x94
0495 : add al, 0x95
0496 : add al, 0x96
0497 : add al, 0x97
0498 : add al, 0x98
0499 : add al, 0x99
049a : add al, 0x9a
049b : add al, 0x9b
049c : add al, 0x9c
049d : add al, 0x9d
049e : add al, 0x9e
049f : add al, 0x9f
04a0 : add al, 0xa0
04a1 : add al, 0xa1
04a2 : add al, 0xa2
04a3 : add al, 0xa3
04a4 : add al, 0xa4
04a5 : add al, 0xa5
04a6 : add al, 0xa6
04a7 : add al, 0xa7
04a8 : add al, 0xa8
04a9 : add al, 0xa9
04aa : add al, 0xaa
04ab : add al, 0xab
04ac : add al, 0xac
04ad : add al, 0xad
04ae : add al, 0xae
04af : add al, 0xaf
04b0 : add al, 0xb0
04b1 : add al, 0xb1
04b2 : add al, 0xb2
04b3 : add al, 0xb3
04b4 : add al, 0xb4
04b5 : add al, 0xb5
04b6 : add al, 0xb6
04b7 : add al, 0xb7
04b8 : add al, 0xb8
04b9 : add al, 0xb9
04ba : add al, 0xba
04bb : add al, 0xbb
04bc : add al, 0xbc
04bd : add al, 0xbd
04be : add al, 0xbe
