Hexa,Instruction,Type
0323,"add esp, dword ptr [rbx]",2-byte
0326,"add esp, dword ptr [rsi]",2-byte
0327,"add esp, dword ptr [rdi]",2-byte
0328,"add ebp, dword ptr [rax]",2-byte
0329,"add ebp, dword ptr [rcx]",2-byte
032a,"add ebp, dword ptr [rdx]",2-byte
032b,"add ebp, dword ptr [rbx]",2-byte
032e,"add ebp, dword ptr [rsi]",2-byte
032f,"add ebp, dword ptr [rdi]",2-byte
0330,"add esi, dword ptr [rax]",2-byte
0331,"add esi, dword ptr [rcx]",2-byte
0332,"add esi, dword ptr [rdx]",2-byte
0333,"add esi, dword ptr [rbx]",2-byte
0336,"add esi, dword ptr [rsi]",2-byte
0337,"add esi, dword ptr [rdi]",2-byte
0338,"add edi, dword ptr [rax]",2-byte
0339,"add edi, dword ptr [rcx]",2-byte
033a,"add edi, dword ptr [rdx]",2-byte
033b,"add edi, dword ptr [rbx]",2-byte
033e,"add edi, dword ptr [rsi]",2-byte
033f,"add edi, dword ptr [rdi]",2-byte
03c0,"add eax, eax",2-byte
03c1,"add eax, ecx",2-byte
03c2,"add eax, edx",2-byte
03c3,"add eax, ebx",2-byte
03c4,"add eax, esp",2-byte
03c5,"add eax, ebp",2-byte
03c6,"add eax, esi",2-byte
03c7,"add eax, edi",2-byte
03c8,"add ecx, eax",2-byte
03c9,"add ecx, ecx",2-byte
03ca,"add ecx, edx",2-byte
03cb,"add ecx, ebx",2-byte
03cc,"add ecx, esp",2-byte
03cd,"add ecx, ebp",2-byte
03ce,"add ecx, esi",2-byte
03cf,"add ecx, edi",2-byte
03d0,"add edx, eax",2-byte
03d1,"add edx, ecx",2-byte
03d2,"add edx, edx",2-byte
03d3,"add edx, ebx",2-byte
03d4,"add edx, esp",2-byte
03d5,"add edx, ebp",2-byte
03d6,"add edx, esi",2-byte
03d7,"add edx, edi",2-byte
03d8,"add ebx, eax",2-byte
03d9,"add ebx, ecx",2-byte
03da,"add ebx, edx",2-byte
03db,"add ebx, ebx",2-byte
03dc,"add ebx, esp",2-byte
03dd,"add ebx, ebp",2-byte
03de,"add ebx, esi",2-byte
03df,"add ebx, edi",2-byte
03e0,"add esp, eax",2-byte
03e1,"add esp, ecx",2-byte
03e2,"add esp, edx",2-byte
03e3,"add esp, ebx",2-byte
03e4,"add esp, esp",2-byte
03e5,"add esp, ebp",2-byte
03e6,"add esp, esi",2-byte
03e7,"add esp, edi",2-byte
03e8,"add ebp, eax",2-byte
03e9,"add ebp, ecx",2-byte
03ea,"add ebp, edx",2-byte
03eb,"add ebp, ebx",2-byte
03ec,"add ebp, esp",2-byte
03ed,"add ebp, ebp",2-byte
03ee,"add ebp, esi",2-byte
03ef,"add ebp, edi",2-byte
03f0,"add esi, eax",2-byte
03f1,"add esi, ecx",2-byte
03f2,"add esi, edx",2-byte
03f3,"add esi, ebx",2-byte
03f4,"add esi, esp",2-byte
03f5,"add esi, ebp",2-byte
03f6,"add esi, esi",2-byte
03f7,"add esi, edi",2-byte
03f8,"add edi, eax",2-byte
03f9,"add edi, ecx",2-byte
03fa,"add edi, edx",2-byte
03fb,"add edi, ebx",2-byte
03fc,"add edi, esp",2-byte
03fd,"add edi, ebp",2-byte
03fe,"add edi, esi",2-byte
03ff,"add edi, edi",2-byte
0400,"add al, 0",2-byte
0401,"add al, 1",2-byte
0402,"add al, 2",2-byte
0403,"add al, 3",2-byte
0404,"add al, 4",2-byte
0405,"add al, 5",2-byte
0406,"add al, 6",2-byte
0407,"add al, 7",2-byte
0408,"add al, 8",2-byte
0409,"add al, 9",2-byte
040a,"add al, 0xa",2-byte
040b,"add al, 0xb",2-byte
040c,"add al, 0xc",2-byte
040d,"add al, 0xd",2-byte
040e,"add al, 0xe",2-byte
040f,"add al, 0xf",2-byte
0410,"add al, 0x10",2-byte
0411,"add al, 0x11",2-byte
0412,"add al, 0x12",2-byte
0413,"add al, 0x13",2-byte
0414,"add al, 0x14",2-byte
0415,"add al, 0x15",2-byte
0416,"add al, 0x16",2-byte
0417,"add al, 0x17",2-byte
0418,"add al, 0x18",2-byte
0419,"add al, 0x19",2-byte
041a,"add al, 0x1a",2-byte
041b,"add al, 0x1b",2-byte
041c,"add al, 0x1c",2-byte
041d,"add al, 0x1d",2-byte
041e,"add al, 0x1e",2-byte
041f,"add al, 0x1f",2-byte
0420,"add al, 0x20",2-byte
0421,"add al, 0x21",2-byte
0422,"add al, 0x22",2-byte
0423,"add al, 0x23",2-byte
0424,"add al, 0x24",2-byte
0425,"add al, 0x25",2-byte
0426,"add al, 0x26",2-byte
0427,"add al, 0x27",2-byte
0428,"add al, 0x28",2-byte
0429,"add al, 0x29",2-byte
042a,"add al, 0x2a",2-byte
042b,"add al, 0x2b",2-byte
042c,"add al, 0x2c",2-byte
042d,"add al, 0x2d",2-byte
042e,"add al, 0x2e",2-byte
042f,"add al, 0x2f",2-byte
0430,"add al, 0x30",2-byte
0431,"add al, 0x31",2-byte
0432,"add al, 0x32",2-byte
0433,"add al, 0x33",2-byte
0434,"add al, 0x34",2-byte
0435,"add al, 0x35",2-byte
0436,"add al, 0x36",2-byte
0437,"add al, 0x37",2-byte
0438,"add al, 0x38",2-byte
0439,"add al, 0x39",2-byte
043a,"add al, 0x3a",2-byte
043b,"add al, 0x3b",2-byte
043c,"add al, 0x3c",2-byte
043d,"add al, 0x3d",2-byte
043e,"add al, 0x3e",2-byte
043f,"add al, 0x3f",2-byte
0440,"add al, 0x40",2-byte
0441,"add al, 0x41",2-byte
0442,"add al, 0x42",2-byte
0443,"add al, 0x43",2-byte
0444,"add al, 0x44",2-byte
0445,"add al, 0x45",2-byte
0446,"add al, 0x46",2-byte
0447,"add al, 0x47",2-byte
0448,"add al, 0x48",2-byte
0449,"add al, 0x49",2-byte
044a,"add al, 0x4a",2-byte
044b,"add al, 0x4b",2-byte
044c,"add al, 0x4c",2-byte
044d,"add al, 0x4d",2-byte
044e,"add al, 0x4e",2-byte
044f,"add al, 0x4f",2-byte
0450,"add al, 0x50",2-byte
0451,"add al, 0x51",2-byte
0452,"add al, 0x52",2-byte
0453,"add al, 0x53",2-byte
0454,"add al, 0x54",2-byte
0455,"add al, 0x55",2-byte
0456,"add al, 0x56",2-byte
0457,"add al, 0x57",2-byte
0458,"add al, 0x58",2-byte
0459,"add al, 0x59",2-byte
045a,"add al, 0x5a",2-byte
045b,"add al, 0x5b",2-byte
045c,"add al, 0x5c",2-byte
